Part,video name,SUBJECTS' RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc06.avi               ,3,3,5,4,4,4,3,3,4,5,3,3,4,4,3,3,4,4,4,4,3,4,4,4,3,3,4,,3.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc07.avi               ,2,3,2,3,2,2,1,3,3,4,2,3,1,1,2,2,1,4,2,3,2,3,2,2,3,3,3,,2.37037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc08.avi               ,2,2,2,2,1,1,2,3,2,3,2,2,2,1,3,2,1,3,2,3,3,2,2,2,2,2,2,,2.074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc09.avi               ,4,4,5,4,3,4,4,5,5,5,4,4,4,5,4,5,4,4,4,4,5,5,4,4,5,4,5,,4.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc10.avi               ,4,4,4,3,3,3,2,5,4,5,4,4,3,4,3,4,3,4,3,4,4,4,4,3,4,4,4,,3.703703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc11.avi               ,2,3,1,2,1,1,1,2,3,3,2,2,1,2,2,1,1,4,3,2,2,2,2,2,2,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc12.avi               ,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,,1.259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc13.avi               ,4,4,5,4,5,4,4,5,3,5,5,5,3,5,4,5,4,4,5,5,4,5,4,5,5,4,4,,4.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc14.avi               ,4,4,4,4,4,3,3,4,4,4,3,4,3,4,3,4,4,3,4,4,4,5,4,4,3,3,3,,3.703703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc15.avi               ,1,3,2,2,1,1,1,2,3,4,2,2,2,2,2,2,1,3,1,2,2,3,2,1,3,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc16.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,,1.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc17.avi               ,3,2,2,3,1,2,2,2,2,3,2,3,2,1,3,3,3,4,4,3,2,3,2,3,3,3,2,,2.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc18.avi               ,3,3,2,2,1,2,3,2,2,3,2,2,2,1,2,2,1,3,1,3,2,2,3,2,2,2,2,,2.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc19.avi               ,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,,1.185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc20.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc21.avi               ,4,4,4,5,4,4,5,5,4,5,2,5,3,5,3,5,4,5,4,4,4,5,5,4,4,5,5,,4.296296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc22.avi               ,3,4,4,4,4,4,3,5,3,5,4,4,2,3,3,4,4,4,3,4,3,4,3,3,3,3,4,,3.592592593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc22.avi               ,4,3,4,3,3,3,3,4,3,5,3,4,4,3,3,3,4,4,3,4,4,5,5,5,4,4,3,,3.703703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc23.avi               ,2,2,2,2,1,2,2,2,2,3,1,3,1,2,2,2,1,4,2,2,2,2,2,2,2,3,2,,2.037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc23.avi               ,2,2,3,2,1,2,1,2,3,3,2,3,2,2,3,2,2,3,1,3,2,3,2,2,1,2,2,,2.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc24.avi               ,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,,1.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc28.avi               ,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,,1.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc29.avi               ,2,2,2,1,1,1,1,1,2,3,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,,1.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc00.avi               ,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,,4.740740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc00.avi               ,4,5,4,5,4,5,3,4,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,5,3,5,,4.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc01.avi               ,4,4,5,5,3,4,5,4,5,5,4,5,4,5,4,5,4,4,5,5,4,5,4,4,5,4,4,,4.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc02.avi               ,4,4,4,5,3,4,4,4,4,5,5,3,4,4,4,3,4,4,5,5,3,5,4,4,4,3,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc03.avi               ,3,4,3,3,2,3,3,4,4,4,2,3,2,3,3,2,2,4,5,4,3,3,3,3,4,3,4,,3.185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc04.avi               ,2,3,2,3,2,3,3,4,3,4,2,3,3,2,3,3,2,4,4,4,3,4,3,2,3,3,2,,2.925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc05.avi               ,5,5,4,5,4,5,4,5,4,5,4,4,4,5,4,4,5,4,5,5,4,3,5,5,4,4,4,,4.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc06.avi               ,3,3,4,4,4,3,3,5,4,4,4,4,5,4,4,3,4,4,4,4,4,4,5,4,4,4,3,,3.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc07.avi               ,3,3,3,3,2,2,2,3,3,3,3,3,3,2,2,2,2,4,3,4,2,3,4,3,3,2,3,,2.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc08.avi               ,2,4,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,4,2,3,3,3,3,2,3,2,2,,2.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc09.avi               ,4,5,4,4,4,4,5,5,4,5,4,4,4,5,4,4,4,3,5,5,4,5,4,1,5,3,5,,4.185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc10.avi               ,3,4,4,5,2,3,3,5,4,5,5,4,3,5,4,4,4,4,1,5,4,4,4,4,4,4,4,,3.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc11.avi               ,3,3,2,2,2,2,1,4,2,4,2,3,2,2,2,3,2,3,2,3,2,2,3,3,3,3,4,,2.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc12.avi               ,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,1,2,1,,1.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc13.avi               ,5,5,4,5,5,5,5,4,5,5,3,4,3,5,4,4,4,5,5,5,5,5,5,4,4,4,5,,4.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc14.avi               ,4,4,3,4,3,3,5,5,3,4,4,5,3,3,3,3,5,4,5,5,4,4,4,5,4,4,3,,3.925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc15.avi               ,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,2,2,3,,2.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc16.avi               ,1,2,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc17.avi               ,2,3,2,3,1,3,4,3,2,4,3,2,2,2,3,3,2,4,5,4,3,3,3,3,3,3,3,,2.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc18.avi               ,2,3,2,3,1,2,2,2,3,3,3,2,2,2,3,1,2,4,1,4,2,3,3,3,2,2,2,,2.37037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc19.avi               ,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,,1.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc20.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc21.avi               ,4,4,5,5,3,4,4,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,3,4,4,5,,4.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc22.avi               ,3,4,4,3,3,3,2,4,5,4,4,5,3,3,4,3,3,4,3,4,4,5,4,3,4,4,5,,3.703703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc22.avi               ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,2,4,4,5,4,3,5,5,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc23.avi               ,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,1,3,1,3,2,2,3,3,3,3,3,,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc23.avi               ,1,2,2,2,2,2,2,3,3,2,1,3,2,2,3,2,2,3,1,4,2,2,3,2,2,2,2,,2.185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc24.avi               ,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,1,1,2,1,1,2,1,,1.259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src07_hrc28.avi               ,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,,1.296296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src07_hrc29.avi               ,2,3,2,2,1,2,1,2,2,3,2,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,3,,1.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc00.avi               ,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,,4.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc00.avi               ,4,5,4,5,4,4,4,5,4,5,5,5,5,5,4,5,5,5,4,4,5,4,5,4,5,5,5,,4.592592593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc01.avi               ,5,5,3,5,5,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,4,5,5,5,5,4,,4.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc02.avi               ,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,5,5,4,4,5,4,3,5,4,,4.296296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc03.avi               ,3,3,3,4,2,3,2,3,3,4,3,3,3,2,3,3,2,4,4,4,4,5,3,4,3,2,3,,3.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc04.avi               ,3,3,3,3,2,3,2,3,3,3,2,4,2,2,3,2,2,4,3,3,3,3,3,3,3,3,4,,2.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc05.avi               ,4,5,5,4,5,4,2,5,5,5,5,5,5,4,4,5,5,4,5,5,5,4,5,5,5,5,4,,4.592592593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc06.avi               ,4,4,4,5,4,4,3,5,3,4,5,4,4,4,4,4,4,4,4,5,4,4,4,2,5,4,4,,4.037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc07.avi               ,3,4,3,4,2,3,2,4,3,3,3,3,3,2,3,3,2,4,4,4,3,4,3,2,3,2,3,,3.037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc08.avi               ,2,3,2,3,1,2,1,2,2,4,2,2,1,1,2,2,2,3,4,3,3,2,3,3,3,2,3,,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc09.avi               ,4,5,5,4,5,4,4,5,5,5,3,5,4,5,4,5,4,4,5,5,4,5,5,4,5,5,4,,4.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc10.avi               ,4,4,5,4,4,3,2,4,4,5,3,5,4,4,4,5,5,4,5,5,4,5,5,5,5,4,4,,4.259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc11.avi               ,3,3,3,3,2,3,2,3,4,3,3,3,2,3,3,4,2,4,4,4,3,4,3,4,2,3,3,,3.074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc12.avi               ,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,1,3,4,2,2,2,2,1,2,2,2,,1.703703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc13.avi               ,4,5,5,5,5,5,5,5,5,5,4,4,5,2,4,5,5,4,5,4,4,4,5,4,5,4,5,,4.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc14.avi               ,4,5,4,4,4,4,3,5,4,4,5,5,5,4,4,4,4,4,5,4,5,5,5,5,5,3,5,,4.37037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc15.avi               ,3,3,3,3,1,2,2,3,3,3,3,3,2,2,4,3,2,3,2,3,3,3,3,4,3,2,2,,2.703703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc16.avi               ,1,2,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,3,1,2,1,1,1,1,2,2,3,,1.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc17.avi               ,2,3,3,3,1,3,2,3,3,3,2,2,2,2,3,3,2,4,4,3,3,3,2,3,3,2,3,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc18.avi               ,2,3,3,3,2,2,2,3,2,3,2,4,2,1,2,2,3,3,4,3,2,2,3,2,2,2,3,,2.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc19.avi               ,1,2,2,2,1,1,1,1,1,2,1,3,1,1,1,1,1,3,1,2,2,2,1,2,1,2,2,,1.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc20.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,1.037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc21.avi               ,3,2,5,5,4,4,5,5,5,5,4,4,5,4,4,5,5,4,4,5,5,5,5,4,5,5,4,,4.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc22.avi               ,4,4,4,5,4,4,4,5,3,4,4,5,4,4,4,5,5,4,5,5,4,5,4,5,4,4,5,,4.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc22.avi               ,4,3,5,4,4,4,5,4,4,4,5,5,5,4,4,5,5,4,5,4,4,5,4,5,4,5,4,,4.37037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc23.avi               ,3,2,3,3,2,3,2,4,3,3,3,4,2,2,2,3,3,4,3,4,3,4,3,2,3,3,4,,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc23.avi               ,3,3,3,3,3,2,1,2,3,4,3,3,1,3,3,4,2,3,4,3,3,4,3,3,2,3,2,,2.814814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc24.avi               ,2,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src08_hrc28.avi               ,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src08_hrc29.avi               ,2,3,2,2,1,1,1,1,2,3,2,2,1,2,2,1,1,2,3,2,1,3,2,2,2,2,1,,1.814814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc00.avi               ,4,5,5,5,5,4,3,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,,4.740740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc00.avi               ,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,5,5,,4.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc01.avi               ,4,5,5,4,4,4,3,5,4,5,5,3,4,4,3,4,4,5,4,4,4,4,4,3,4,4,5,,4.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc02.avi               ,3,4,3,4,3,3,3,3,4,3,4,3,3,3,3,4,3,4,1,4,3,3,3,3,3,2,3,,3.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc03.avi               ,1,3,3,3,3,2,2,3,2,3,2,3,1,1,2,2,3,4,2,3,2,3,3,3,2,3,3,,2.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc04.avi               ,2,3,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,3,2,3,2,3,2,3,3,3,2,,2.37037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc05.avi               ,5,4,4,4,3,4,3,4,4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,5,5,4,4,,4.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc06.avi               ,3,3,3,3,2,2,2,2,2,3,4,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc07.avi               ,1,1,1,3,2,2,1,3,2,2,2,2,1,1,2,2,1,3,1,2,1,2,2,1,2,2,3,,1.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc08.avi               ,2,2,1,2,1,2,1,1,1,2,2,2,1,2,2,1,1,3,1,2,2,2,1,2,2,2,1,,1.62962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc09.avi               ,4,5,4,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,5,5,3,4,4,4,5,4,5,,4.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc10.avi               ,3,3,3,5,2,3,2,4,3,2,4,3,2,4,3,4,3,4,2,4,3,4,2,3,2,3,3,,3.074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc11.avi               ,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,2,2,2,1,1,2,2,2,,1.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc12.avi               ,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc13.avi               ,4,5,4,4,4,4,3,5,4,4,5,4,5,4,3,4,5,5,4,4,3,4,4,5,4,4,4,,4.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc14.avi               ,2,4,3,5,3,3,4,3,3,4,4,3,3,4,3,4,3,4,4,4,3,3,3,5,3,4,2,,3.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc15.avi               ,2,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,3,1,2,2,2,2,2,2,2,2,,1.62962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc16.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc17.avi               ,2,3,3,3,1,2,3,2,2,3,3,2,1,1,2,2,2,4,4,3,3,3,3,2,3,3,3,,2.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc18.avi               ,1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,1,3,1,2,2,2,2,2,2,2,1,,1.740740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc19.avi               ,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,1.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc20.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc21.avi               ,4,4,5,4,4,4,4,5,4,5,4,4,4,5,3,5,5,5,5,5,3,4,4,3,4,4,4,,4.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc22.avi               ,3,4,3,4,3,3,1,2,3,4,2,3,2,3,3,3,3,4,4,4,3,3,3,4,3,3,3,,3.074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc22.avi               ,2,4,2,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,4,3,4,3,5,3,3,2,,3.185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc23.avi               ,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,3,2,2,1,2,2,2,2,2,2,,1.592592593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc23.avi               ,1,2,1,2,1,2,1,2,3,2,2,1,1,2,2,1,2,3,1,3,2,2,2,2,1,2,2,,1.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc24.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src09_hrc28.avi               ,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,,1.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src09_hrc29.avi               ,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,,1.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src10_hrc00.avi               ,4,4,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,4,5,,4.703703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src10_hrc00.avi               ,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,,4.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src10_hrc01.avi               ,3,4,5,3,4,4,4,5,4,5,4,4,4,4,3,4,4,5,4,5,4,4,4,4,5,3,4,,4.074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src10_hrc02.avi               ,2,3,3,3,3,2,2,4,4,5,2,4,2,1,2,3,2,4,5,4,3,2,3,3,2,3,4,,2.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src10_hrc03.avi               ,1,2,2,2,1,2,1,2,2,3,2,2,1,2,2,3,2,3,2,2,2,3,2,3,2,2,2,,2.037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src10_hrc04.avi               ,2,1,2,2,1,2,1,2,2,4,2,1,2,2,2,2,1,3,3,2,2,1,3,2,2,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src10_hrc05.avi               ,4,5,5,4,4,3,4,4,4,5,4,3,5,3,3,5,3,4,4,4,4,4,4,3,4,3,4,,3.925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src10_hrc06.avi               ,3,3,4,3,3,2,2,4,3,5,2,4,2,2,2,3,2,4,4,3,4,3,3,2,4,3,5,,3.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src10_hrc07.avi               ,2,2,1,2,1,1,1,2,2,3,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,,1.740740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src10_hrc08.avi               ,2,1,1,2,1,1,1,1,2,3,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,,1.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src10_hrc09.avi               ,3,4,5,4,3,3,4,5,4,5,4,5,4,4,3,5,4,4,4,4,5,4,4,4,4,4,4,,4.074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src10_hrc10.avi               ,3,2,3,3,3,2,2,4,3,5,2,3,2,2,2,3,2,3,4,3,3,2,3,1,4,3,3,,2.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src10_hrc11.avi               ,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,,1.62962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src10_hrc12.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,1.037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src10_hrc13.avi               ,3,4,5,4,4,4,4,5,5,5,4,4,4,5,3,4,5,4,3,4,5,4,4,4,5,3,5,,4.185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src10_hrc14.avi               ,3,3,4,3,2,2,3,4,4,5,3,3,2,3,2,3,1,4,3,3,5,2,2,2,4,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
